CaseNo.,OnlineSearch,OnlineTeacher,OnlinePeer,MAP1,EP1,MAP2,PAV1,MAP3,MAV1,PAP1,MAV2,EP2,PAV2,MAV3,PAV3,EP3,PAP2,EP4,PAP3,PAP,PAV,MAV,MAP
41,3,1,1,4,2,3,1,3,4,2,3,2,2,3,2,3,2,3,3,1.766262232,1.790718404,2.765350345,2.544378761
42,3,4,2,4,3,4,3,3,4,2,4,2,5,3,4,2,2,4,2,1.667837913,2.793164112,3.210936439,2.672350397
43,4,4,2,4,3,4,3,4,2,2,4,3,2,3,2,3,2,4,2,1.643100831,1.863192174,2.466779468,2.905810888
44,4,3,4,3,3,3,3,4,2,2,4,2,4,2,4,3,1,3,3,1.515606221,2.373552648,2.324885659,2.433692703
45,4,1,1,3,3,3,2,3,4,2,3,3,2,3,3,4,2,1,2,1.608431017,2.079058282,2.843752823,2.214024917
46,4,2,4,4,4,4,3,4,3,3,2,3,4,3,3,3,3,3,4,2.580960359,2.374064891,2.456967655,2.953303795
47,2,1,3,4,2,4,1,4,3,3,3,2,4,3,3,2,3,4,3,2.401500797,2.198494278,2.590950266,2.947977313
48,4,2,3,3,3,4,1,3,4,1,4,3,5,3,4,4,1,2,1,0.892077803,2.484136319,3.169615184,2.311136264
49,2,1,1,3,4,3,2,3,2,2,2,4,1,1,3,4,3,2,3,2.102959503,1.57354061,1.456307948,2.21879566
50,2,3,4,3,3,3,3,4,2,3,3,3,4,3,3,4,3,3,4,2.561063608,2.345697154,2.355901047,2.494705617
51,4,1,3,4,4,4,2,3,2,3,3,3,2,2,3,4,3,3,3,2.393689171,1.8836985,1.975340887,2.698500659
52,3,2,2,4,3,4,2,4,2,2,3,2,4,2,3,2,2,4,3,1.834986004,2.04118827,2.05876263,2.905957731
53,3,2,1,4,2,4,2,4,3,3,3,2,4,3,3,2,2,3,3,2.094922059,2.26831876,2.628918134,2.930351992
54,4,2,2,4,4,1,1,4,1,2,2,4,2,3,1,4,2,2,1,1.448059079,1.211971575,1.704490949,2.477746782
55,3,2,4,3,2,3,3,3,2,3,3,2,4,3,4,4,2,4,2,1.924646031,2.465695208,2.421895295,2.218507166
56,4,1,2,4,4,1,3,4,1,3,2,4,1,2,1,4,3,3,3,2.369242501,1.326324811,1.402703572,2.522796566
57,4,3,3,4,4,3,3,4,1,3,3,3,4,3,4,3,2,2,2,1.95669948,2.370338951,2.156630105,2.774960444
58,4,2,3,4,4,3,3,4,4,3,3,4,2,4,3,4,4,2,3,2.696270524,2.417791559,3.153303008,2.838172704
59,3,2,2,3,3,3,2,3,3,3,3,2,4,3,2,3,3,3,3,2.362755778,2.112399512,2.552555451,2.250695638
60,3,1,2,3,3,3,2,4,2,1,2,3,1,2,1,2,1,3,3,1.185183184,1.164982764,1.685843883,2.415564407
61,3,2,3,3,3,3,4,2,3,3,4,3,4,3,4,3,3,2,3,2.386537815,2.789737119,2.894261958,2.011602598
62,3,2,3,4,4,4,3,3,2,2,3,4,2,2,2,3,2,4,3,1.803293247,1.721598824,1.969605757,2.666432815
63,3,3,3,4,4,4,3,4,4,2,3,3,5,4,4,3,4,3,3,2.465955611,2.928615728,3.30721489,2.958235853
64,4,2,3,4,4,4,3,4,3,3,2,4,4,3,4,4,3,3,4,2.593496191,2.572243511,2.508866954,2.952753992
